Script|Category|Keywords|Purpose|Syntax|Example1|Example2|Example3
snapper.sql|Performance Monitoring|performance, session, ash, statistics, monitoring, snapshot, profiling, metrics, workload, activity|Session-level performance measurement without requiring database changes. Flagship TPT tool.|@snapper [options] <seconds> <snapshots> <sid>|@snapper ash 5 12 all|@snapper ash=sql_id+event 5 6 123,456|@snapper stats,gather=st 1 60 all
s.sql|Session Monitoring|session, wait, event, sql, sid, current, activity, blocking, status|Display current session wait and SQL_ID information for specified sessions|@s <sid>|@s 123|@s 52,110,225|@s "select sid from v$session where username='SOE'"
sqlid.sql|SQL Analysis|sql, sqlid, execution, statistics, plan, cursor, child, performance, text|Display SQL text, child cursors, and execution statistics for a given SQL_ID|@sqlid <sql_id> <child_number>|@sqlid 7q729nhdgtsqq 0|@sqlid 7q729nhdgtsqq %|
x.sql|Execution Plans|explain, plan, execution, xplan, last, cursor, dbms_xplan, allstats|Display execution plan with runtime statistics for last SQL statement in session|@x|@x||
xa.sql|Execution Plans|explain, plan, execution, xplan, last, cursor, allstats, alias|Alias for x.sql - Display execution plan for last SQL statement|@xa|@xa||
xi.sql|Execution Plans|explain, plan, execution, xplan, sqlid, library, cache, cursor|Display execution plan from library cache for specific SQL_ID and child number|@xi <sql_id> <child_number>|@xi 7q729nhdgtsqq 0|@xi 7q729nhdgtsqq %|
xawr.sql|Execution Plans / AWR|explain, plan, execution, xplan, awr, history, plan_hash_value|Display execution plan from AWR for SQL_ID and plan hash value|@xawr <sql_id> <plan_hash_value>|@xawr 0sh0fn7r21020 1541789278|@xawr 0sh0fn7r21020 %|
ash/ashtop.sql|ASH Analysis|ash, active, session, history, top, wait, event, sql, grouping, activity|Display top ASH activity by grouping specified columns from V$ACTIVE_SESSION_HISTORY|@ash/ashtop <grouping_cols> <filters> <from_time> <to_time>|@ash/ashtop username,sql_id,event2 1=1 sysdate-1/24 sysdate|@ash/ashtop event2,wait_class 1=1 &hour|
ash/ash_wait_chains.sql|ASH Analysis / Lock Analysis|ash, wait, chain, blocking, blocker, lock, contention, dependency|Display ASH wait chains showing multi-session wait signatures and blocking|@ash/ash_wait_chains <grouping_cols> <filters> <from_time> <to_time>|@ash/ash_wait_chains username "wait_class='Application'" sysdate-1/24 sysdate||
ash/asqlmon.sql|ASH Analysis / SQL Analysis|ash, sql, monitor, execution, plan, operation, step, drill, performance|SQL-monitoring-style drill-down showing where in execution plan time is spent|@ash/asqlmon <sql_id> <child_number> <from_time> <to_time>|@ash/asqlmon 7q729nhdgtsqq 0 sysdate-1/24 sysdate|@ash/asqlmon 7q729nhdgtsqq % sysdate-1 sysdate|
aw.sql|System Monitoring|activity, what, now, current, system, metrics, sysmetric, monitor|Display current database activity - What's going on right now - system metrics|@aw <filter_expression>|@aw 1=1||
ses.sql|Session Monitoring|session, statistics, stats, sesstat, sid, metric, value|Display session statistics for specified sessions, filtered by statistic name|@ses <sid> <statname>|@ses 10 %|@ses 10 parse|@ses 10,11,12 redo
ses2.sql|Session Monitoring|session, statistics, stats, sesstat, sid, metric, nonzero, value|Display session statistics (like ses.sql) but only show stats with value > 0|@ses2 <sid> <statname>|@ses2 10 %|@ses2 10 parse|
lock.sql|Lock Analysis|lock, enqueue, latch, blocking, wait, contention, mode, held, requested|Display current locks from V$LOCK with lock type and mode information|@lock <filter_expression>|@lock 1=1|@lock type='TM'|@lock sid=123
trans.sql|Transaction Monitoring|transaction, undo, ublk, urec, xid, rollback, active, commit|Display active transactions from V$TRANSACTION with undo block usage|@trans <filter_expression>|@trans 1=1||
kill.sql|Session Management|kill, terminate, session, disconnect, alter, system|Generate ALTER SYSTEM KILL SESSION commands for selected sessions (does not execute)|@kill <filter_expression>|@kill sid=284|@kill username='SYSTEM'|@kill "username='APP' and program like 'sqlplus%'"
trace.sql|Tracing / Diagnostics|trace, sql_trace, 10046, event, diagnostic, enable, dbms_monitor|Generate commands to enable SQL tracing for selected sessions|@trace <filter_expression>|@trace sid=123|@trace username='SOE'|
traceme.sql|Tracing / Diagnostics|trace, sql_trace, current, session, enable, self|Enable SQL tracing for the current session|@traceme|@traceme||
traceoff.sql|Tracing / Diagnostics|trace, sql_trace, disable, stop, turn off|Disable SQL tracing for selected sessions|@traceoff <filter_expression>|@traceoff sid=123|@traceoff username='SOE'|
tab.sql|Object Information|table, segment, storage, statistics, rows, blocks, object|Display table information including storage and statistics|@tab [<owner>.]<table_name>|@tab soe.orders|@tab soe.%|@tab orders
ind.sql|Object Information|index, key, column, statistics, btree, unique, composite|Display index information including columns and statistics|@ind [<owner>.]<index_name|table_name>|@ind orders|@ind soe.ord_customer_ix|@ind soe.%
seg.sql|Object Information|segment, storage, space, bytes, blocks, extents, tablespace|Display segment information including storage details|@seg [<owner>.]<segment_name>|@seg soe.customers|@seg soe.%|
o.sql|Object Information|object, dba_objects, owner, name, type, status, created|Display database object information by owner and name|@o [<owner>.]<object_name>|@o sys.dba_users|@o %.%files|@o %table%
df.sql|Space Management|datafile, tablespace, space, free, used, disk, storage, df|Show tablespace free space in Unix df style (in GB)|@df|@df||
dfm.sql|Space Management|datafile, tablespace, space, free, used, disk, storage, df, megabytes|Show tablespace free space in Unix df style (in MB)|@dfm|@dfm||
sga.sql|Memory Management|sga, memory, system, global, area, component, pool, buffer, shared|Display instance memory usage breakdown from V$SGA_DYNAMIC_COMPONENTS|@sga|@sga||
pga.sql|Memory Management|pga, program, global, area, memory, workarea, sort, hash|Display PGA manager statistics from V$PGASTAT|@pga|@pga||
sgastat.sql|Memory Management|sga, memory, shared, pool, library, cache, detailed, breakdown|Display detailed SGA information from V$SGASTAT|@sgastat <name_or_pool>|@sgastat %|@sgastat result|@sgastat "shared pool"
mem.sql|Memory Management|memory, sga, dynamic, component, resize, automatic, management|Display information about dynamic SGA components|@mem|@mem||
help.sql|Utility|help, search, find, documentation, usage, syntax, manual|Search and display help for TPT scripts with usage examples|@help <search_string>|@help explain|@help lock|latch.*hold|@help ^ind.*sql
awr/awr_sqlstats.sql|AWR / SQL Analysis|awr, sql, statistics, history, performance, plan, execution|Display SQL statistics from AWR for historical analysis|@awr/awr_sqlstats <sql_id> <plan_hash_value> <from_time> <to_time>|@awr/awr_sqlstats 0sh0fn7r21020 1541789278 sysdate-7 sysdate|@awr/awr_sqlstats 0sh0fn7r21020 % sysdate-7 sysdate|
awr/awr_sqlstats_per_exec.sql|AWR / SQL Analysis|awr, sql, statistics, per, execution, average, history, performance|Display SQL statistics per execution from AWR|@awr/awr_sqlstats_per_exec <sql_id> <plan_hash_value> <from_time> <to_time>|@awr/awr_sqlstats_per_exec 0sh0fn7r21020 1541789278 sysdate-7 sysdate||
create_sql_baseline.sql|SQL Tuning|sql, baseline, plan, management, spm, fix, good, stable|Create SQL Plan Baseline from an existing good cursor to fix execution plan|@create_sql_baseline <good_sqlid> <good_plan_hash_value> <to_bad_sqlid>|@create_sql_baseline g5tuxh82pk3qf 2966233522 d7khnbh6c9qas||
create_sql_patch.sql|SQL Tuning|sql, patch, hint, tuning, optimizer, force, directive|Create SQL patch to inject hints into SQL without modifying code|@create_sql_patch <sql_id> <hint>|@create_sql_patch g4pkmrqrgxg3b GATHER_PLAN_STATISTICS|@create_sql_patch b9dmj0ahu6xgc 'NO_INDEX_SS(@"SEL$1" "T1")'|
create_sql_profile.sql|SQL Tuning|sql, profile, tuning, hint, plan, optimizer|Create SQL profile from hints to influence optimizer behavior|@create_sql_profile <sql_id> <hints>|@create_sql_profile 7q729nhdgtsqq 'FULL(@SEL$1 T1)'||
drop_sql_baseline.sql|SQL Tuning|sql, baseline, drop, remove, delete, spm|Drop SQL Plan Baseline|@drop_sql_baseline <sql_handle>|@drop_sql_baseline SQL_52cb74b7097edbbd||
drop_sql_patch.sql|SQL Tuning|sql, patch, drop, remove, delete|Drop SQL patch|@drop_sql_patch <patch_name>|@drop_sql_patch SQL_PATCH_g4pkmrqrgxg3b||
descxx.sql|Object Information|describe, table, column, datatype, stats, histogram, extended|Describe table with extended column information including statistics|@descxx <object_name>|@descxx soe.orders||
col.sql|Object Information|column, table, datatype, list, search, find|Display columns matching a pattern|@col <column_name>|@col open_mode|@col %date%|
hint.sql|SQL Tuning|hint, optimizer, list, all, available, syntax|Display all available optimizer hints|@hint <name>|@hint full|@hint %|
d.sql|Utility|dictionary, view, dba, all, user, x$, search, find|Display data dictionary views and X$ tables matching pattern|@d <object_name>|@d sql|@d %session%|
evh.sql|Wait Analysis|event, histogram, wait, time, latency, distribution|Display histogram of wait event counts|@evh <event>|@evh log file sync|@evh log.file|db.file|
sed.sql|Wait Analysis|event, description, wait, class, parameter, p1, p2, p3|Display wait event description and parameters|@sed <event>|@sed log file sync|@sed "enq: TX"|
long.sql|Session Monitoring|long, operation, progress, rman, datapump, job, running|Display session long operations showing progress|@long <filter_expression>|@long 1=1|@long username='SOE'|
jobs.sql|Scheduler / Jobs|job, scheduler, dbms_job, running, schedule, next|Display scheduled jobs and their status|@jobs|@jobs||
sqlmon.sql|SQL Monitoring|sql, monitor, real, time, execution, progress, report|Run SQL Monitor report for a session|@sqlmon <sid>|@sqlmon 1019||
hash.sql|SQL Analysis|hash, value, sql_id, child, last, statement|Display hash value, SQL_ID, and child number of last SQL in session|@hash|@hash||
us.sql|User Management|user, username, dba_users, account, schema, list|Display database usernames from DBA_USERS|@us <username>|@us %|@us APP%|
uu.sql|Session Monitoring|user, session, connected, active, username, list|Display user sessions from V$SESSION|@uu <username>|@uu %|@uu SOE|
topseg.sql|Space Management|segment, top, space, largest, tablespace, storage|Display top space users per tablespace|@topseg <tablespace_name>|@topseg USERS|@topseg %|
sys.sql|System Monitoring|system, statistics, sysstat, metrics, performance, counters, global|Display system-level statistics from V$SYSSTAT filtered by name pattern|@sys <statistic_name>|@sys redo|@sys 'redo write'|@sys parse
sqlf.sql|SQL Analysis|sql, fulltext, text, complete, statement, query, source|Display full SQL text from V$SQL for a given SQL_ID|@sqlf <sql_id>|@sqlf 7q729nhdgtsqq|@sqlf 0sh0fn7r21020|
latchprof.sql|Performance Monitoring / Latch Analysis|latch, holder, profiling, contention, sampling, performance, bottleneck|High-frequency sampling on V$LATCHHOLDER to profile latches held by sessions|@latchprof <grouping_columns> <sid> <latch_name> <samples>|@latchprof name,sqlid 123 % 10000|@latchprof sid,name % "shared pool" 10000|@latchprof sid,name,laddr % % 100000
tabhist.sql|Statistics / Object Information|histogram, statistics, column, distribution, cardinality, endpoints|Display column histograms from DBA_TAB_HISTOGRAMS|@tabhist [<owner>.]<table_name> <column_name>|@tabhist soe.orders order_mode|@tabhist soe.orders %|
partkeys.sql|Object Information|partition, key, column, partitioning, table, composite|Display table partition key columns|@partkeys [<owner>.]<table_name>|@partkeys soe.orders|@partkeys soe.%|
tabpart.sql|Object Information|partition, table, segment, storage, size, rows, subpartition|Display table partition information including size and row counts|@tabpart [<owner>.]<table_name>|@tabpart soe.orders|@tabpart soe.%|
tabsubpart.sql|Object Information|subpartition, table, composite, storage, partition|Display table subpartition information for composite partitioned tables|@tabsubpart [<owner>.]<table_name>|@tabsubpart soe.orders|@tabsubpart soe.%|
wrka.sql|Memory Management / Workarea|pga, workarea, temp, sort, hash, memory, usage, session|Display PGA and TEMP usage by session|@wrka <filter_expression>|@wrka 1=1|@wrka sid=1000|@wrka "username='SOE'"
wrkasum.sql|Memory Management / Workarea|pga, workarea, summary, operation, sort, hash, group, aggregate|Display summary of SQL workareas grouped by operation type|@wrkasum <filter_expression>|@wrkasum sql_id='7q729nhdgtsqq'|@wrkasum 1=1|
topcur.sql|SQL Analysis / Memory|cursor, top, memory, shared, pool, sql, large|Display top cursors by memory usage in shared pool|@topcur|@topcur||
topcurmem.sql|SQL Analysis / Memory|cursor, memory, top, shared, pool, large, persistent|Display top cursors by memory usage with detailed breakdown|@topcurmem|@topcurmem||
sqlbinds.sql|SQL Analysis|bind, variable, value, captured, peeking, sql|Display captured SQL bind variable values|@sqlbinds <sql_id> <child_number> <bind_name>|@sqlbinds 2swu3tn1ujzq7 0 %|@sqlbinds 2swu3tn1ujzq7 % sys_b_.*|
nonshared.sql|SQL Analysis / Cursor|cursor, sharing, nonshared, child, reason, version, mismatch|Display reasons why child cursors are not shared|@nonshared <sql_id>|@nonshared 7q729nhdgtsqq||
lob.sql|Object Information|lob, large, object, clob, blob, segment, storage|Display LOB segment information and storage details|@lob [<owner>.]<table_name>|@lob soe.customers|@lob %.%|
syn.sql|Object Information|synonym, alias, object, reference, link|Display synonym information and what they point to|@syn [<owner>.]<synonym_name>|@syn system.tab|@syn system.%|@syn public.dba_tables
seq.sql|Object Information|sequence, generator, nextval, current, value, cache|Display sequence information including current value and cache|@seq [<owner>.]<sequence_name>|@seq sys.jobseq|@seq %.jobseq|
dirs.sql|System Configuration|directory, path, external, table, datapump, utl_file|Display database directory objects and their OS paths|@dirs|@dirs||
dblinks.sql|System Configuration|database, link, dblink, remote, connection, distributed|Display database links and their connection information|@dblinks|@dblinks||
log.sql|System Configuration / Redo|redo, log, online, logfile, group, member, size|Display redo log file layout|@log|@log||
curlog.sql|System Configuration / Redo|redo, log, current, active, logfile, switch|Display current redo log file information|@curlog|@curlog||
ts.sql|Space Management|tablespace, datafile, storage, space, list|Display tablespace information|@ts <tablespace_name>|@ts USERS|@ts %|
ls.sql|Space Management|tablespace, list, datafile, storage|Display tablespace details with datafile information|@ls <tablespace_name>|@ls system|@ls %|
segcached.sql|Object Information / Buffer Cache|segment, buffer, cache, cached, blocks, memory|Display buffered blocks for segment in buffer cache|@segcached [<owner>.]<object_name>|@segcached soe.orders|@segcached soe.%|
topsegstat.sql|Object Information / Performance|segment, statistics, top, reads, writes, io, physical|Display top segment-level statistics|@topsegstat <statistic_name>|@topsegstat reads|@topsegstat writes|
sqlmem.sql|SQL Analysis / Memory|sql, memory, shared, pool, cursor, size, persistent|Display shared pool memory usage for SQL statement|@sqlmem <sql_id>|@sqlmem 7q729nhdgtsqq||
pmem.sql|Memory Management|process, memory, pga, session, usage, detail|Display process memory usage details|@pmem <spid>|@pmem 1000|@pmem 12345|
smem.sql|Memory Management|session, memory, pga, uga, usage, process|Display session/process memory usage|@smem <sid>|@smem 1000|@smem 123|
usid.sql|Session Monitoring|session, user, process, spid, sid, connection, info|Display user session and process information|@usid <sid>|@usid 123|@usid 1000|
bg.sql|System Monitoring / Background Processes|background, process, dbwr, lgwr, smon, pmon, oracle|Display background process information|@bg <process_name_or_description>|@bg dbw|@bg writer|@bg %
cancel.sql|Session Management|cancel, sql, alter, system, statement, running|Generate ALTER SYSTEM CANCEL SQL commands|@cancel <filter_expression>|@cancel sid=150|@cancel username='SYSTEM'|
ddl.sql|Object Information / DDL|ddl, create, definition, metadata, dbms_metadata, extract|Extract DDL statements for database objects|@ddl [<owner>.]<object_name>|@ddl sys.dba_users|@ddl sys.%tab%|
proc.sql|Object Information / PL/SQL|procedure, function, package, plsql, program, unit|Display procedures and functions in packages|@proc <object_name> <procedure_name>|@proc dbms_stats table|@proc dbms_stats %|
trig.sql|Object Information / PL/SQL|trigger, event, timing, table, dml, ddl|Display trigger information|@trig [<owner>.]<trigger_name>|@trig sys.delete_entries|@trig sys.%|
colusage.sql|Object Information / Statistics|column, usage, tracking, predicate, filter, statistics|Display column usage tracking information|@colusage [<owner>.]<table_name>|@colusage soe.orders|@colusage soe.%|
pvalid.sql|System Configuration|parameter, valid, values, options, settings, initialization|Display valid values for initialization parameters|@pvalid <parameter_name>|@pvalid optimizer|@pvalid optimizer_mode|
p.sql|System Configuration|parameter, value, init, setting, configuration, spfile|Display parameter name and current value|@p <parameter_name>|@p optimizer|@p sga_target|
pd.sql|System Configuration|parameter, description, value, documentation, init|Display parameter name, description, and value|@pd <parameter_description>|@pd optimizer|@pd memory|
pv.sql|System Configuration|parameter, value, search, configuration, setting|Display parameters filtered by current value|@pv <value>|@pv MANUAL|@pv TRUE|
